timestamp,parameter,value,units,lower,upper,passed,rail,unit_id,vin,iout,temp_c
2026-06-22T11:43:28,vout_noload,5.11,V,4.75,5.25,True,5V,U2,15.0,,5
2026-06-22T11:46:08,line_reg_pct,0.0,%,,2.0,True,5V,U2,,,5
2026-06-22T11:52:05,load_reg_pct,30.399999999999988,%,,5.0,False,5V,U2,15.0,,5
2026-06-22T11:53:16,vout_noload,9.14,V,8.55,9.45,True,9V,U2,15.0,,5
2026-06-22T11:53:42,line_reg_pct,65.11111111111111,%,,2.0,False,9V,U2,,,5
2026-06-22T12:08:56,load_reg_pct,14.44444444444445,%,,5.0,False,9V,U2,15.0,,5
2026-06-22T12:09:50,vout_noload,12.0,V,11.4,12.6,True,12V,U2,15.0,,5
2026-06-22T12:10:31,line_reg_pct,0.0,%,,2.0,True,12V,U2,,,5
2026-06-22T12:12:26,load_reg_pct,46.0,%,,5.0,False,12V,U2,15.0,,5
2026-06-22T12:13:40,vout_noload,5.12,V,4.75,5.25,True,5V,U2,15.0,,50
2026-06-22T12:14:15,line_reg_pct,0.19999999999999574,%,,2.0,True,5V,U2,,,50
2026-06-22T12:17:54,load_reg_pct,38.99999999999999,%,,5.0,False,5V,U2,15.0,,50
2026-06-22T12:20:31,vout_noload,9.14,V,8.55,9.45,True,9V,U2,15.0,,50
2026-06-22T12:21:24,line_reg_pct,0.0,%,,2.0,True,9V,U2,,,50
2026-06-22T12:23:16,load_reg_pct,3.44444444444445,%,,5.0,True,9V,U2,15.0,,50
2026-06-22T12:24:33,vout_noload,12.0,V,11.4,12.6,True,12V,U2,15.0,,50
2026-06-22T12:24:54,line_reg_pct,0.0,%,,2.0,True,12V,U2,,,50
2026-06-22T12:36:55,load_reg_pct,65.66666666666667,%,,5.0,False,12V,U2,15.0,,50
